,F1014anonym,F1014C1,F1014C2,F1014C3,F1014C4,F1014C5,F1014C6,F1014C7,F1014C8,F1014C9,F1014C10
2817,Nichts,,,,,,,,,,
2818,Nichts,,,,,,,,,,
2819,Nichts,Unklare Entscheidungsverfahren,,,,,,,,,
2820,Nichts,Nichts,,,,,,,,,
2821,Nichts,,,,,,,,,,
2822,Nichts,Nichts,,,,,,,,,
2823,Nichts,,,,,,,,,,
2824,Nichts,,,,,,,,,,
2825,Nichts,Höhe des Zuschusses nicht ausreichend,,,,,,,,,
2826,Nichts,,,,,,,,,,
2827,Nichts,Nichts,,,,,,,,,
2828,Nichts,,,,,,,,,,
2829,Nichts,,,,,,,,,,
2830,Nichts,,,,,,,,,,
2831,Nichts,,,,,,,,,,
2832,Nichts,,,,,,,,,,
2833,Nichts,,,,,,,,,,
2834,Nichts,,,,,,,,,,
2835,Nichts,,,,,,,,,,
2836,Nichts,,,,,,,,,,
2837,Nichts,,,,,,,,,,
2838,Nichts,,,,,,,,,,
2839,Nichts,unflexible Bedingungen,,,,,,,,,
2840,Nichts,,,,,,,,,,
2841,Nichts,,,,,,,,,,
2842,Nichts,,,,,,,,,,
2843,Nichts,,,,,,,,,,
2844,Nichts,,,,,,,,,,
2845,Nichts,,,,,,,,,,
2846,Nichts,,,,,,,,,,
2847,Nichts,,,,,,,,,,
2848,Keine Gründe,Nichts,,,,,,,,,
2849,Nichts,,,,,,,,,,
2850,Nichts,,,,,,,,,,
2851,Nichts,,,,,,,,,,
2852,Nichts,,,,,,,,,,
2853,Nichts,,,,,,,,,,
2854,Nichts,,,,,,,,,,
2855,Nichts,,,,,,,,,,
2856,Nichts,,,,,,,,,,
2857,Nichts,,,,,,,,,,
2858,Nichts,,,,,,,,,,
2859,Nichts,Nichts,,,,,,,,,
2860,Nichts,Nichts,,,,,,,,,
2861,Nichts,Nichts,,,,,,,,,
2862,Nichts,,,,,,,,,,
2863,Nichts,,,,,,,,,,
2864,Nichts,,,,,,,,,,
2865,Nichts,,,,,,,,,,
2866,Nichts,,,,,,,,,,
2867,Nichts,,,,,,,,,,
2868,Nichts,,,,,,,,,,
2869,Nichts,,,,,,,,,,
2870,Nichts,,,,,,,,,,
2871,Nichts,,,,,,,,,,
2872,Nichts,,,,,,,,,,
2873,Nichts,,,,,,,,,,
2874,Nichts,,,,,,,,,,
2875,Nichts,,,,,,,,,,
2876,zu bürokratisch,Aufwändige Beantragung,,,,,,,,,
2877,Nichts,,,,,,,,,,
2878,Nichts,,,,,,,,,,
2879,Nichts,Nichts,,,,,,,,,
2880,?,,,,,,,,,,
2882,Nichts,,,,,,,,,,
2883,Nichts,unflexible Bedingungen,,,,,,,,,
2884,Nichts,,,,,,,,,,
2885,Nichts,,,,,,,,,,
2886,Nichts,,,,,,,,,,
2887,Nichts,Nichts,,,,,,,,,
2888,Nichts,,,,,,,,,,
2889,Nichts,,,,,,,,,,
2890,Nichts,,,,,,,,,,
2891,Nichts,,,,,,,,,,
2892,Nichts,,,,,,,,,,
2893,Nichts,,,,,,,,,,
2894,Nichts,,,,,,,,,,
2895,Nichts,,,,,,,,,,
2896,Nichts,,,,,,,,,,
2897,Nichts,Nichts,,,,,,,,,
2898,Nichts,kein / unbekannter Bedarf (bei Bekannten / Gesprächspartnern),,,,,,,,,
2899,Nichts,,,,,,,,,,
2900,Nichts,,,,,,,,,,
2901,Nichts,,,,,,,,,,
2902,Nichts,,,,,,,,,,
2903,Nichts,,,,,,,,,,
2904,Nichts,,,,,,,,,,
2905,Nichts,,,,,,,,,,
2906,Passende Förderprogramme teils schwer zu finden,Aufwändige Beantragung,,,,,,,,,
2907,Nichts,,,,,,,,,,
2908,Nichts,,,,,,,,,,
2909,Nichts,,,,,,,,,,
2910,Nichts,,,,,,,,,,
2911,Nichts,,,,,,,,,,
2912,Nichts,,,,,,,,,,
2913,Nichts,,,,,,,,,,
2914,Nichts,,,,,,,,,,
2915,Nichts,,,,,,,,,,
2916,Nichts,,,,,,,,,,
2917,Nichts,,,,,,,,,,
2918,Nichts,,,,,,,,,,
2919,Nichts,,,,,,,,,,
2920,"Sehr wenig, die mangelnde Bekanntheit der Fördermöglichkeiten ist meist das größte Hindernis",kein / unbekannter Bedarf (bei Bekannten / Gesprächspartnern),,,,,,,,,
2921,Nichts,,,,,,,,,,
2922,Nichts,,,,,,,,,,
2923,Nichts,,,,,,,,,,
2924,Nichts,,,,,,,,,,
2925,Nichts,,,,,,,,,,
2926,Nichts,,,,,,,,,,
2927,Nichts,,,,,,,,,,
2928,Nichts,,,,,,,,,,
2929,Nichts,,,,,,,,,,
2930,Nichts,,,,,,,,,,
2931,Nichts,,,,,,,,,,
2932,Nichts,,,,,,,,,,
2933,Nichts,,,,,,,,,,
2934,Nichts,,,,,,,,,,
2935,Die Trägheit des Verfahrens,Lange Bearbeitungsdauer,,,,,,,,,
2936,Nichts,,,,,,,,,,
2937,Nichts,,,,,,,,,,
2938,Nichts,,,,,,,,,,
2939,Nichts,,,,,,,,,,
2940,Nichts,,,,,,,,,,
2941,Nichts,,,,,,,,,,
2943,Nichts,Nichts,,,,,,,,,
2944,Nichts,,,,,,,,,,
2945,Nichts,,,,,,,,,,
2946,Nichts,Nichts,,,,,,,,,
2947,Nichts,,,,,,,,,,
2948,Nichts,Nichts,,,,,,,,,
2949,Nichts,,,,,,,,,,
2950,Nichts,,,,,,,,,,
2951,Nichts,,,,,,,,,,
2952,Nichts,Nichts,,,,,,,,,
2953,Nichts,,,,,,,,,,
2954,Nichts,,,,,,,,,,
2955,Nichts,,,,,,,,,,
2956,Nichts,Nichts,,,,,,,,,
2957,Nichts,Nichts,,,,,,,,,
2958,Nichts,,,,,,,,,,
2959,Nichts,Nichts,,,,,,,,,
2960,Nichts,,,,,,,,,,
2961,Nichts,,,,,,,,,,
2962,Nichts,,,,,,,,,,
2963,Nichts,,,,,,,,,,
2964,Nichts,,,,,,,,,,
2965,Nichts,,,,,,,,,,
2966,Nichts,Nichts,,,,,,,,,
2967,Nichts,,,,,,,,,,
2968,Nichts,,,,,,,,,,
2970,Nichts,,,,,,,,,,
2971,Nichts,,,,,,,,,,
2972,Nichts,Nichts,,,,,,,,,
2973,Nichts,,,,,,,,,,
2974,Nichts,Höhe des Zuschusses nicht ausreichend,,,,,,,,,
2975,Nichts,,,,,,,,,,
2976,Nichts,,,,,,,,,,
2977,Nichts,,,,,,,,,,
2978,Nichts,,,,,,,,,,
2979,Nichts,,,,,,,,,,
2980,Nichts,,,,,,,,,,
2981,Nichts,,,,,,,,,,
2982,Nichts,,,,,,,,,,
2983,Nichts,,,,,,,,,,
2984,Nichts,,,,,,,,,,
2985,Nichts,,,,,,,,,,
2986,Nichts,,,,,,,,,,
2987,Nichts,,,,,,,,,,
2988,Nichts,,,,,,,,,,
2989,Nichts,,,,,,,,,,
2990,Nichts,,,,,,,,,,
2991,Nichts,,,,,,,,,,
2992,Nichts,,,,,,,,,,
2993,Nichts,,,,,,,,,,
2994,Nichts,Nichts,,,,,,,,,
2995,Nichts,Nichts,,,,,,,,,
2996,Nichts,,,,,,,,,,
2997,Nichts,Nichts,,,,,,,,,
2998,Nichts,,,,,,,,,,
2999,Nichts,Nichts,,,,,,,,,
3000,Nichts,Nichts,,,,,,,,,
3001,Nichts,,,,,,,,,,
3002,Nichts,,,,,,,,,,
3003,Nichts,,,,,,,,,,
3004,Nichts,,,,,,,,,,
3005,Nichts,,,,,,,,,,
3006,Nichts,,,,,,,,,,
3007,Nichts,,,,,,,,,,
3008,Nichts,,,,,,,,,,
3009,Nichts,,,,,,,,,,
3010,Nichts,,,,,,,,,,
3011,Nichts,,,,,,,,,,
3012,Nichts,,,,,,,,,,
3013,Nichts,,,,,,,,,,
3014,Nichts,,,,,,,,,,
3015,Nichts,Nichts,,,,,,,,,
3016,Nichts,,,,,,,,,,
3017,Nichts,Nichts,,,,,,,,,
3018,einzige Quelle für öffentliche Förderung,Sonstiges,,,,,,,,,
3019,Nichts,,,,,,,,,,
3020,Nichts,,,,,,,,,,
3021,Nichts,,,,,,,,,,
3022,Nichts,,,,,,,,,,
3023,Nichts,kein / unbekannter Bedarf (bei Bekannten / Gesprächspartnern),,,,,,,,,
3024,Nichts,,,,,,,,,,
3025,Nichts,Nichts,,,,,,,,,
3026,Nichts,,,,,,,,,,
3027,Nichts,,,,,,,,,,
3028,Nichts,Nichts,,,,,,,,,
3029,Nichts,,,,,,,,,,
3030,Nichts,Nichts,,,,,,,,,
3031,Nichts,Nichts,,,,,,,,,
3032,Nichts,,,,,,,,,,
3033,Nichts,,,,,,,,,,
3034,Nichts,,,,,,,,,,
3035,Nichts,,,,,,,,,,
3036,Nichts,,,,,,,,,,
3037,Nichts,,,,,,,,,,
3038,Nichts,,,,,,,,,,
3039,Nichts,,,,,,,,,,
3040,Nichts,Sonstiges,,,,,,,,,
3041,bei älteren Mitmenschen ist die Antragstellung schon etwas Aufwendig,Aufwändige Beantragung,,,,,,,,,
3042,Nichts,,,,,,,,,,
3043,Nichts,,,,,,,,,,
3044,Nichts,,,,,,,,,,
3045,Nichts,,,,,,,,,,
3046,Nichts,,,,,,,,,,
3047,Nichts,,,,,,,,,,
3048,Nichts,,,,,,,,,,
3049,Nichts,,,,,,,,,,
3050,Nichts,Nichts,,,,,,,,,
3051,Nichts,,,,,,,,,,
3052,Nichts,,,,,,,,,,
3053,Nichts,,,,,,,,,,
3054,Nichts,,,,,,,,,,
3055,Nichts,,,,,,,,,,
3056,Nichts,,,,,,,,,,
3057,Nichts,Nichts,,,,,,,,,
3058,Nichts,,,,,,,,,,
3059,Nichts,,,,,,,,,,
3060,Nichts,,,,,,,,,,
3061,Nichts,,,,,,,,,,
3062,Nichts,,,,,,,,,,
3063,Nichts,,,,,,,,,,
3064,Nichts,,,,,,,,,,
3065,Nichts,,,,,,,,,,
3066,Nichts,,,,,,,,,,
3067,Nichts,Nichts,,,,,,,,,
3068,Nichts,,,,,,,,,,
3069,Nichts,,,,,,,,,,
3070,Nichts,,,,,,,,,,
3071,das mangelnde Interesse im Bekanntenkreis (an der KfW),kein / unbekannter Bedarf (bei Bekannten / Gesprächspartnern),,,,,,,,,
3072,Nichts,,,,,,,,,,
3073,Nichts,,,,,,,,,,
3074,Nichts,,,,,,,,,,
3075,Nichts,,,,,,,,,,
3076,Nichts,,,,,,,,,,
3077,Nichts,,,,,,,,,,
3078,Nichts,,,,,,,,,,
3079,Nichts,,,,,,,,,,
3080,Nichts,Nichts,,,,,,,,,
3081,Nichts,Nichts,,,,,,,,,
3082,Nichts,,,,,,,,,,
3083,Nichts,,,,,,,,,,
3084,Nichts,,,,,,,,,,
3085,Nichts,,,,,,,,,,
3086,Nichts,,,,,,,,,,
3087,Die BearbeitungsdauNichts,Lange Bearbeitungsdauer,,,,,,,,,
3088,AufwaNichtsNichts,Aufwändige Beantragung,,,,,,,,,
3090,"Wie voraus schon geschrieben, ist es ein Rechenexempel, das jeder für sich entscheiden muss, ob er/sie den KfW-Zuschuss nutzen wiNichts",Sonstiges,,,,,,,,,
3091,Nichts,,,,,,,,,,
3092,Nichts,Nichts,,,,,,,,,
3093,Nichts,,,,,,,,,,
3094,Nichts,,,,,,,,,,
3095,Nichts,,,,,,,,,,
3096,Nichts,Nichts,,,,,,,,,
3097,Nichts,Nichts,,,,,,,,,
3098,Nichts,,,,,,,,,,
3099,Nichts,,,,,,,,,,
3100,Nichts,,,,,,,,,,
3101,Nichts,Nichts,,,,,,,,,
3102,Nichts,,,,,,,,,,
3103,Nichts,,,,,,,,,,
3104,Nichts,,,,,,,,,,
3105,Nichts,,,,,,,,,,
3106,Nichts,Aufwändige Beantragung,,,,,,,,,
3107,Nichts,,,,,,,,,,
3108,Nichts,,,,,,,,,,
3109,Nichts,,,,,,,,,,
3110,Nichts,,,,,,,,,,
3111,Nichts,,,,,,,,,,
3112,Nichts,Nichts,,,,,,,,,
3113,Nichts,,,,,,,,,,
3114,Nichts,,,,,,,,,,
3115,Nichts,,,,,,,,,,
3116,Nichts,,,,,,,,,,
3117,Habe sie schon mehrfach weiterempfohlen,Nichts,,,,,,,,,
3118,Nichts,,,,,,,,,,
3119,Nichts,,,,,,,,,,
3120,Nichts,,,,,,,,,,
3121,Nichts,,,,,,,,,,
3122,Nichts,Nichts,,,,,,,,,
3123,Nichts,,,,,,,,,,
3125,Nichts,,,,,,,,,,
4775,Nichts,,,,,,,,,,
4776,"was sollte dagegen sprechen, wenn man 900 Euro gefördert bekommt",Nichts,,,,,,,,,
4777,Nichts,,,,,,,,,,
4778,Nichts,Nichts,,,,,,,,,
4779,Nichts,,,,,,,,,,
4780,Nichts,,,,,,,,,,
4781,Nichts,,,,,,,,,,
4782,Nichts,,,,,,,,,,
4783,Nichts,Nichts,,,,,,,,,
4784,Nichts,,,,,,,,,,
4785,Nichts,Nichts,,,,,,,,,
4786,Nichts,,,,,,,,,,
4787,Nichts,,,,,,,,,,
4788,Nichts,,,,,,,,,,
4789,Nichts,,,,,,,,,,
4790,Nichts,,,,,,,,,,
4791,Nichts,,,,,,,,,,
4792,Nichts,,,,,,,,,,
4793,Nichts,Nichts,,,,,,,,,
4794,mangelnder Bedarf für das Förderprogramm,kein / unbekannter Bedarf (bei Bekannten / Gesprächspartnern),,,,,,,,,
4795,Nichts,,,,,,,,,,
4796,Nichts,,,,,,,,,,
4797,Nichts,,,,,,,,,,
4798,Nichts,,,,,,,,,,
4799,Nichts,Nichts,,,,,,,,,
4800,Nichts,,,,,,,,,,
4801,Nichts,,,,,,,,,,
4802,Nichts,Nichts,,,,,,,,,
4803,Nichts,,,,,,,,,,
4804,Nichts,,,,,,,,,,
4805,Nichts,Nichts,,,,,,,,,
4806,Nichts,Nichts,,,,,,,,,
4807,Kosten für Erfüllung kfw Zuschuss zB Energieberater und Nichts damit verbundene Auflagen unsinnig und den Zuschuss auffresseNichts,Kosten-/Nutzenverhältnis,,,,,,,,,
4808,Nichts,,,,,,,,,,
4809,Nichts,,,,,,,,,,
4810,Nichts,,,,,,,,,,
4811,Nichts,,,,,,,,,,
4812,Nichts,,,,,,,,,,
4813,Nichts,,,,,,,,,,
4814,Nichts,,,,,,,,,,
4815,Nichts,,,,,,,,,,
4816,Nichts,,,,,,,,,,
4817,Nichts,Nichts,,,,,,,,,
4818,Nichts,Nichts,,,,,,,,,
4819,Nichts,,,,,,,,,,
4820,Nichts,,,,,,,,,,
4821,Nichts,,,,,,,,,,
4822,Nichts,Nichts,,,,,,,,,
4823,Nichts,,,,,,,,,,
4824,Nichts,,,,,,,,,,
4826,Nichts,,,,,,,,,,
4827,Nichts,,,,,,,,,,
4828,Nichts,,,,,,,,,,
4829,Nichts,,,,,,,,,,
4830,Nichts,,,,,,,,,,
4831,KeiNichts,Nichts,,,,,,,,,
4832,Nichts,,,,,,,,,,
4833,Nichts,Nichts,,,,,,,,,
4834,Nichts,,,,,,,,,,
4835,Nichts,,,,,,,,,,
4836,Nichts,,,,,,,,,,
4837,Nichts,Nichts,,,,,,,,,
4838,Nichts,Nichts,,,,,,,,,
4839,Nichts,unflexible Bedingungen,,,,,,,,,
4840,Nichts,,,,,,,,,,
4841,Nichts,,,,,,,,,,
4842,Nichts,,,,,,,,,,
4843,Nichts,,,,,,,,,,
4844,Nichts,,,,,,,,,,
4845,Nichts,Nichts,,,,,,,,,
4846,Nichts,,,,,,,,,,
4847,Nichts,,,,,,,,,,
4848,Nichts,,,,,,,,,,
4849,Nichts,,,,,,,,,,
4850,Nichts,,,,,,,,,,
4851,Nichts,,,,,,,,,,
4852,Nichts,Nichts,,,,,,,,,
4853,Nichts,,,,,,,,,,
4854,Nichts,,,,,,,,,,
4855,Nichts,,,,,,,,,,
4856,Nichts,,,,,,,,,,
4857,Nichts,,,,,,,,,,
4858,Nichts,,,,,,,,,,
4859,Nichts,,,,,,,,,,
4860,Nichts,,,,,,,,,,
4861,Stabilität Zuschussportal,Erreichbarkeit des Angebots (Serverausfall),,,,,,,,,
4862,Nichts,,,,,,,,,,
4863,Nichts,,,,,,,,,,
4864,Nichts,,,,,,,,,,
4865,Nichts,,,,,,,,,,
4866,Nichts,Nichts,,,,,,,,,
4867,Nichts,,,,,,,,,,
4868,Nichts,,,,,,,,,,
4869,Nichts,,,,,,,,,,
4870,Nichts,Nichts,,,,,,,,,
4871,Komplizierte Anträge und Nachweise in anderen Bereichen und niedrige Zinsen!,Aufwändige Beantragung,Der derzeit niedrige Zinssatz,,,,,,,,
4872,Nichts,Nichts,,,,,,,,,
4873,Nichts,,,,,,,,,,
4874,Nichts,,,,,,,,,,
4875,Nichts,,,,,,,,,,
4876,Nichts,Nichts,,,,,,,,,
4877,Nichts,,,,,,,,,,
4878,Nichts,,,,,,,,,,
4879,Nichts,,,,,,,,,,
4880,Nichts,,,,,,,,,,
4881,Nichts,,,,,,,,,,
4882,Nichts,Nichts,,,,,,,,,
4883,Nichts,,,,,,,,,,
4884,Nichts,Nichts,,,,,,,,,
4885,Nichts,,,,,,,,,,
4886,Nichts,,,,,,,,,,
4887,Nichts,Nichts,,,,,,,,,
4888,Nichts,,,,,,,,,,
4889,Nichts,,,,,,,,,,
4890,Nichts,,,,,,,,,,
4891,Nichts,Nichts,,,,,,,,,
4892,Nichts,Nichts,,,,,,,,,
4893,Nichts,,,,,,,,,,
4894,Nichts,,,,,,,,,,
4895,Nichts,Lange Bearbeitungsdauer,Aufwändige Beantragung,,,,,,,,
4896,Nichts,,,,,,,,,,
4897,Keine gründe,Nichts,,,,,,,,,
4898,Nichts,,,,,,,,,,
4899,Nichts,,,,,,,,,,
4900,Nichts,,,,,,,,,,
4901,Nichts,,,,,,,,,,
4902,Nichts,,,,,,,,,,
4903,Nichts,,,,,,,,,,
4904,Nichts,,,,,,,,,,
4905,Nichts,,,,,,,,,,
4906,umständlich,Aufwändige Beantragung,,,,,,,,,
4907,Nichts,Nichts,,,,,,,,,
4908,Nichts,Nichts,,,,,,,,,
4909,Nichts,Nichts,,,,,,,,,
4911,Nichts,,,,,,,,,,
4912,Nichts,,,,,,,,,,
4913,Nichts,,,,,,,,,,
4914,Je nach Förderung Ist es unmöglich eine Bank zu finden die das abgewickeNichts,Abhängigkeit von der Bank,,,,,,,,,
4915,Nichts,,,,,,,,,,
4916,Nichts,Nichts,,,,,,,,,
4917,Nichts,,,,,,,,,,
4918,Nichts,,,,,,,,,,
4919,Nichts,,,,,,,,,,
4920,Nichts,,,,,,,,,,
4921,Nichts,Nichts,,,,,,,,,
4922,Nichts,,,,,,,,,,
4923,Nichts,,,,,,,,,,
4924,Nichts,,,,,,,,,,
4925,Nichts,Online-Verfahren,,,,,,,,,
4926,Nichts,Nichts,,,,,,,,,
4927,Nichts,,,,,,,,,,
4928,Nichts,,,,,,,,,,
4929,Nichts,,,,,,,,,,
4930,Nichts,,,,,,,,,,
4931,Nichts,,,,,,,,,,
4932,Nichts,,,,,,,,,,
4933,Nichts,,,,,,,,,,
4934,Nichts,Nichts,,,,,,,,,
4935,Nichts,,,,,,,,,,
4936,Nichts,,,,,,,,,,
4937,Nichts,Nichts,,,,,,,,,
4938,Nichts,,,,,,,,,,
4939,Nichts,Nichts,,,,,,,,,
4940,Nichts,,,,,,,,,,
4941,Nichts,,,,,,,,,,
4942,Nichts,,,,,,,,,,
4943,Nichts,,,,,,,,,,
4944,Nichts,Nichts,,,,,,,,,
4945,Nichts,,,,,,,,,,
4947,Nichts,,,,,,,,,,
4948,Nichts,,,,,,,,,,
4949,Nichts,,,,,,,,,,
4950,Nichts,,,,,,,,,,
4952,Nichts,,,,,,,,,,
4953,Nichts,,,,,,,,,,
4954,Gerade im Bereichen Bauen / Sanieren sehr komplex und unübersichtliNichts,Aufwändige Beantragung,,,,,,,,,
4955,Nichts,,,,,,,,,,
4956,Nichts,,,,,,,,,,
4957,Nichts,,,,,,,,,,
4958,Nichts,,,,,,,,,,
4959,Nichts,,,,,,,,,,
4960,Nichts,Nichts,,,,,,,,,
4961,Nichts,,,,,,,,,,
4962,Nichts,Nichts,,,,,,,,,
4963,Nichts,,,,,,,,,,
4964,Nichts,,,,,,,,,,
4965,Nichts,,,,,,,,,,
4966,Nichts,,,,,,,,,,
4967,Nichts,Nichts,,,,,,,,,
4968,Nichts,,,,,,,,,,
4969,Nichts,,,,,,,,,,
4970,Nichts,,,,,,,,,,
4971,Nichts,,,,,,,,,,
4972,Nichts,Nichts,,,,,,,,,
4973,Nichts,Nichts,,,,,,,,,
4974,Nichts,,,,,,,,,,
4975,Nichts,Nichts,,,,,,,,,
4976,"Enge Bedingungen für die Förderung,NichtsB. Lade­station mit 11 kW Ladeleistung  und intelligenter Steuerung",unflexible Bedingungen,,,,,,,,,
4977,Nutzbarkeit,Sonstiges,,,,,,,,,
4978,* Frust bei elektronischer Antragsabgabe * zuviel Bürokratie bei manchen Anforderungen,Erreichbarkeit des Angebots (Serverausfall),Aufwändige Beantragung,,,,,,,,
4979,Nichts,,,,,,,,,,
4980,Nichts,,,,,,,,,,
4981,Nichts,,,,,,,,,,
4982,Nichts,Nichts,,,,,,,,,
4983,Nichts,,,,,,,,,,
4984,Nichts,,,,,,,,,,
4985,Nichts,,,,,,,,,,
4986,Nichts,,,,,,,,,,
4987,Nichts,Nichts,,,,,,,,,
4988,Auszahlung sollte auch für vorher installierte Wallbox gehen,unflexible Bedingungen,,,,,,,,,
4989,Nichts,,,,,,,,,,
4990,Nichts,,,,,,,,,,
4991,Nichts,Nichts,,,,,,,,,
4992,Nichts,,,,,,,,,,
4993,Nichts,,,,,,,,,,
4994,Nichts,Nichts,,,,,,,,,
4995,Nichts,,,,,,,,,,
4996,Nichts,Nichts,,,,,,,,,
4997,Nichts,,,,,,,,,,
4998,Nichts,,,,,,,,,,
4999,Nichts,Nichts,,,,,,,,,
5001,Nichts,,,,,,,,,,
5002,Nichts,Nichts,,,,,,,,,
5003,Nichts,,,,,,,,,,
5004,Nichts,kein / unbekannter Bedarf (bei Bekannten / Gesprächspartnern),,,,,,,,,
5005,Nichts,,,,,,,,,,
5006,Nichts,,,,,,,,,,
5007,Nichts,,,,,,,,,,
5008,Nichts,,,,,,,,,,
5009,Nichts,,,,,,,,,,
5010,Nichts,,,,,,,,,,
5011,zu kompliziert,Aufwändige Beantragung,,,,,,,,,
5012,Nichts,,,,,,,,,,
5013,Nichts,,,,,,,,,,
5014,Nichts,,,,,,,,,,
5015,Dass es für bestimmte Dinge keine Förderung gibt,unflexible Bedingungen,,,,,,,,,
5016,Nichts,,,,,,,,,,
5017,"Alles prima, hoffentlich läuft auch die Auszahlung der 900 € auch problemlos",Nichts,,,,,,,,,
5018,Nichts,,,,,,,,,,
5019,Nichts,Nichts,,,,,,,,,
5020,Nichts,,,,,,,,,,
5021,Nichts,,,,,,,,,,
5022,???,,,,,,,,,,
5023,Nichts,,,,,,,,,,
5024,"Noch zu früh, kann ich erst nach Auszahlung des Zuschusses beurteilen",,,,,,,,,,
5025,Nichts,Nichts,,,,,,,,,
5026,Nichts,,,,,,,,,,
5027,COMPUTER Technik ist erforderlich,Online-Verfahren,,,,,,,,,
5028,Nichts,Nichts,,,,,,,,,
5029,keine Argumente,Nichts,,,,,,,,,
5030,Nichts,,,,,,,,,,
5031,Nichts,Nichts,,,,,,,,,
5032,Nichts,Nichts,,,,,,,,,
5033,Nichts,,,,,,,,,,
5034,Zinssätze für KfW-Kredite (Immobilienfinanzierung) teilweise über normalem Darlehenszins,Der derzeit niedrige Zinssatz,,,,,,,,,
5035,Nichts,,,,,,,,,,
5036,Nichts,,,,,,,,,,
5037,Nichts,,,,,,,,,,
5038,Nichts,,,,,,,,,,
5039,Nichts,Nichts,,,,,,,,,
5040,Nichts,,,,,,,,,,
5041,Nichts,Nichts,,,,,,,,,
